experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict people walking dogs outdoors, while the cat_1 images show people interacting with dogs in close proximity, such as holding, petting, or bathing them. The test image shows a dog outdoors but not being walked by a person.\nRule: The presence of a person walking a dog outdoors.\nTest Image: A dog outdoors wearing a bandana.\nConclusion: cat_1']
28 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict people washing or cleaning motorcycles, while the cat_1 images show people riding motorcycles, performing maintenance, or posing with them. The test image shows people washing a motorcycle.\nRule: The images in cat_2 involve cleaning or washing motorcycles, whereas cat_1 images do not.\nTest Image: People washing a motorcycle.\nConclusion: cat_2']
29 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images all depict individuals washing or cleaning motorcycles, while the cat_1 images show motorcycles being ridden, used in races, or being repaired.\nRule: The presence of individuals actively cleaning motorcycles.\nTest Image: A motorcycle is parked on a street with no individuals cleaning it.\nConclusion: cat_1']
30 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict people actively riding bicycles in various settings, while the cat_1 images show people interacting with bicycles in non-riding contexts such as repairing, washing, or standing next to them. The test image shows people actively riding bicycles in a race setting.\nRule: People are actively riding bicycles.\nTest Image: People are actively riding bicycles in a race.\nConclusion: cat_2']
31 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict people actively riding bicycles in various settings, while the cat_1 images show people interacting with bicycles in non-riding contexts such as repairing, washing, or standing next to them. The test image shows a person working on a bicycle, not riding it.\nRule: People are actively riding bicycles.\nTest Image: A person is working on a bicycle.\nConclusion: cat_1']
32 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show people interacting directly with kites or kite-like objects, either holding them, preparing them, or being close to them. In contrast, the cat_1 images show people either not interacting with kites at all or interacting with them from a distance, such as flying them or observing them.\nRule: People are directly interacting with kites or kite-like objects.\nTest Image: A person is holding a kite and appears to be preparing it for flying.\nConclusion: cat_2']
33 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The `cat_2` images show people interacting directly with kites or balloons, either holding them, preparing them, or being close to them. In contrast, the `cat_1` images depict people who are not directly interacting with kites or balloons; they are either preparing the string, lying down, or observing from a distance.\nRule: Direct interaction with kites or balloons\nTest Image: The test image shows a silhouette of a person and a child running with a kite, indicating direct interaction.\nConclusion: cat_2']
34 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict a person kissing a dog, while the cat_1 images show various interactions with dogs that do not involve kissing.\nRule: The person is kissing the dog.\nTest Image: A man kissing a dog.\nConclusion: cat_2']
35 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images all depict a person and a dog engaging in a close, affectionate interaction, specifically kissing or nuzzling. The cat_1 images show people and dogs in various settings but without the specific affectionate interaction of kissing or nuzzling. The test image shows a person and a dog in a close, affectionate interaction, with the person nuzzling the dog.\nRule: The presence of a close, affectionate interaction between a person and a dog, specifically kissing or nuzzling.\nTest Image: A person nuzzling a dog in a close, affectionate interaction.\nConclusion: cat_2']
36 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict two individuals engaging in a kiss or intimate physical contact, while the cat_1 images do not show kissing or intimate contact between two people.\nRule: The images in cat_2 show two people kissing or in an intimate embrace.\nTest Image: The test image shows a man and a woman in close proximity, with the woman feeding the man, but they are not kissing.\nConclusion: cat_1']
37 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict two individuals engaging in a kiss or intimate physical contact, while the cat_1 images do not show kissing or intimate contact between two people. The test image shows two individuals hugging, which is a form of physical contact but not a kiss.\nRule: The images in cat_2 show two individuals kissing, while those in cat_1 do not.\nTest Image: Two individuals hugging each other.\nConclusion: cat_1']
38 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals actively performing skateboarding tricks or jumps, while the cat_1 images show individuals either not actively skateboarding, posing, or performing simple skateboarding actions like standing on a board.\nRule: The distinguishing rule is that cat_2 images show individuals in the midst of performing a skateboarding trick or jump.\nTest Image: The test image shows a person in mid-air with a skateboard, indicating they are performing a trick or jump.\nConclusion: cat_2']
39 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals actively performing skateboarding tricks or maneuvers, indicating a focus on action and skill. The cat_1 images show individuals either posing with skateboards, holding them, or in a non-active stance, suggesting a lack of active skateboarding.\nRule: The distinguishing rule is whether the individual is actively performing a skateboarding trick or maneuver.\nTest Image: The test image shows an adult and a child on a skateboard, but they are not performing a trick or maneuver; they appear to be posing.\nConclusion: cat_1']
40 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show interactions where a person is touching or holding a dog, while the cat_1 images show dogs being held or carried by people without direct physical contact from the person to the dog.\nRule: A person is touching or holding the dog.\nTest Image: A person is touching a small brown dog.\nConclusion: cat_2']
41 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images show interactions where a person is directly touching or holding a dog, indicating a close physical interaction. In contrast, the cat_1 images show dogs either not being touched or the interaction is less direct, such as holding a dog in a container or the dog being near but not directly touched by a person.\nRule: A person is directly touching or holding a dog.\nTest Image: A person in a wedding dress is directly touching a dog.\nConclusion: cat_2']
42 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The `cat_2` images depict groups of people engaged in social interactions around a table, often sharing food or drinks, suggesting a communal or social dining setting. The `cat_1` images either show individuals or groups in settings that do not emphasize communal dining, such as a formal event, a family gathering without a focus on dining, or a setup for a future event with no people present.\nRule: The presence of a group of people engaged in communal dining or social interaction around a table.\nTest Image: The test image shows a person eating alone at a table with food, not engaging in a communal dining experience with others.\nConclusion: cat_1']
43 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images depict groups of people engaged in social interactions around a table, often with food and drinks, suggesting a casual or semi-formal gathering. The cat_1 images either show individuals or groups in more formal settings, such as a conference or a structured event, or they lack the social interaction around a table.\nRule: The presence of a group of people engaged in social interaction around a table with food and drinks.\nTest Image: The test image shows two people sitting at a table with drinks, engaged in a social interaction.\nConclusion: cat_2']
44 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show humans interacting with dogs in a manner that suggests care, such as petting, holding, or comforting the dogs. The cat_1 images show interactions that are more playful or active, like walking, playing with a hose, or holding puppies. The test image shows a person lying down and holding a dog close, which aligns with the caring interaction seen in cat_2 images.\nRule: The distinguishing rule is the nature of the interaction: caring vs. playful/active.\nTest Image: A person lying down and holding a dog close.\nConclusion: cat_2']
45 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images all show a person interacting with a dog in a way that suggests care or affection, such as petting, holding, or being close to the dog. The cat_1 images either show dogs without human interaction or interactions that do not convey care or affection, like walking on a leash or playing with a hose. The test image shows a person holding a dog, which suggests care or affection.\nRule: The presence of a person interacting with a dog in a way that suggests care or affection.\nTest Image: A person holding a dog, suggesting care or affection.\nConclusion: cat_2']
46 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals performing skateboarding tricks where the skateboard is off the ground, indicating an action of jumping or flipping. The cat_1 images show individuals either standing on a skateboard, sitting on it, or in a group setting with skateboards, but no tricks are being performed.\nRule: The skateboard is off the ground and the person is performing a trick.\nTest Image: The individual is performing a trick with the skateboard off the ground.\nConclusion: cat_2']
47 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals actively performing skateboarding tricks, indicating motion and skill. The cat_1 images show individuals with skateboards in a stationary position or in non-trick-related activities.\nRule: The presence of active skateboarding tricks being performed.\nTest Image: A man holding a skateboard while standing still.\nConclusion: cat_1']
48 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict a person and a dog engaging in a direct, affectionate interaction, specifically kissing or nuzzling. The cat_1 images show people and dogs interacting in various ways, but not through direct affectionate contact like kissing. The test image shows a person kissing a dog, which aligns with the interactions in cat_2 images.\nRule: The images in cat_2 show a person and a dog engaging in direct affectionate contact, specifically kissing.\nTest Image: A person kissing a dog on the cheek.\nConclusion: cat_2']
49 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict a person and a dog engaging in direct physical affection, such as kissing or nuzzling. The cat_1 images show interactions between people and dogs but without the direct physical affection seen in cat_2. The test image shows a group of people interacting with a dog, but there is no direct physical affection like kissing or nuzzling.\nRule: Direct physical affection between a person and a dog, such as kissing or nuzzling.\nTest Image: A group of people interacting with a dog, but no direct physical affection like kissing or nuzzling is shown.\nConclusion: cat_1']
50 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict people actively riding bicycles in various settings, while the cat_1 images show people with bicycles but not actively riding them, or in contexts not related to riding such as repairing or posing with the bikes. The test image shows people actively riding bicycles in front of a building.\nRule: People are actively riding bicycles.\nTest Image: People are actively riding bicycles in front of a building.\nConclusion: cat_2']
51 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images depict people actively riding bicycles in various settings, while the cat_1 images show people with bicycles but not actively riding them, or in contexts not related to riding such as repairing or posing with the bikes. The test image shows a person actively riding a bicycle on a street.\nRule: People are actively riding bicycles.\nTest Image: A person is riding a bicycle on a street.\nConclusion: cat_2']
52 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The `cat_2` images all depict individuals actively engaged in playing soccer, with a focus on the action of kicking or controlling a soccer ball. The `cat_1` images do not depict soccer gameplay; they show other activities, such as a group interaction, beach volleyball, a baseball game, and a tennis player, or they are unrelated to sports.\nRule: The images in `cat_2` show people actively playing soccer, while `cat_1` images do not depict soccer gameplay.\nTest Image: The test image shows a person actively kicking a soccer ball on a field.\nConclusion: cat_2']
53 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The `cat_2` images all depict individuals playing soccer, with a clear focus on the sport and the ball. The `cat_1` images do not depict soccer; they show other activities or sports, or non-sport-related scenes.\nRule: The images in `cat_2` are all related to the sport of soccer.\nTest Image: The test image shows a person spinning a basketball on their finger, which is not related to soccer.\nConclusion: cat_1']
54 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show individuals holding knives in a context that suggests preparation, cooking, or playful scenarios, while the cat_1 images depict individuals holding knives in a manner that appears more aggressive or threatening.\nRule: Individuals in cat_2 are holding knives in a non-aggressive context.\nTest Image: A child in a superhero costume holding a knife near a piece of bread.\nConclusion: cat_2']
55 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The `cat_2` images all feature individuals holding knives in a manner that suggests they are using them for a practical purpose, such as cooking, crafting, or outdoor activities. In contrast, the `cat_1` images show individuals holding knives in a way that appears more aggressive, threatening, or inappropriate for the context.\nRule: Individuals in the image are using knives for practical, non-aggressive purposes.\nTest Image: A person is using a knife to cut a sandwich on a table.\nConclusion: cat_2']
56 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals engaging in intimate acts such as kissing, while the cat_1 images show people in non-intimate interactions like handshakes or casual conversations.\nRule: The images in cat_2 involve intimate physical contact, specifically kissing.\nTest Image: Two individuals are kissing outdoors.\nConclusion: cat_2']
57 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict intimate or affectionate interactions between two individuals, such as kissing or tender gestures. The cat_1 images show interactions that are more formal, professional, or non-affectionate, such as handshakes or discussions. The test image shows a man and a woman standing and talking, but there is no indication of an intimate or affectionate interaction.\nRule: The images in cat_2 show intimate or affectionate interactions between two individuals, while those in cat_1 do not.\nTest Image: A man and a woman are standing and talking in front of a decorative structure, with no signs of affectionate interaction.\nConclusion: cat_1']
58 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show individuals or small groups seated at tables with food and drinks, suggesting a meal or dining scenario. The cat_1 images depict larger groups in settings that are not primarily focused on dining, such as social gatherings, meetings, or events where food is present but not the main focus. The test image shows an individual seated at a table with food, similar to the cat_2 images.\nRule: The presence of individuals or small groups seated at tables with food and drinks, indicating a dining scenario.\nTest Image: An individual seated at a table with food and drinks.\nConclusion: cat_2']
59 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The `cat_2` images all show individuals seated at tables with food or drinks present, suggesting a meal or dining context. The `cat_1` images either lack food/drink at the tables or the setting is not primarily focused on dining, such as a meeting or social gathering without a meal.\nRule: The presence of food or drinks on the table indicating a dining context.\nTest Image: Three individuals seated at a table with cups and plates, suggesting a dining context.\nConclusion: cat_2']
60 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The cat_2 images depict groups of people engaged in various activities that are not sports-related, such as playing basketball casually, socializing, and attending meetings. The cat_1 images, on the other hand, show individuals or groups actively participating in sports like soccer and tennis, with a focus on the sport itself.\nRule: The images in cat_2 do not depict sports activities, while those in cat_1 do.\nTest Image: The test image shows two individuals on a tennis court, actively engaged in playing tennis.\nConclusion: cat_1']
61 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images depict a variety of social interactions and activities that do not involve sports. The cat_1 images are all related to sports activities, specifically soccer and tennis. The test image shows a soccer match in progress, with players actively competing for the ball.\nRule: The images in cat_2 do not involve sports activities, while those in cat_1 do.\nTest Image: The test image shows a soccer match with players competing for the ball.\nConclusion: cat_1']
62 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals using laptops in settings that suggest professional or educational purposes, such as offices, classrooms, or workspaces. The cat_1 images show individuals using laptops in more casual or personal settings, like homes, public transport, or with children present. The test image shows two individuals using laptops at a table in what appears to be a home or casual setting.\nRule: The distinguishing rule is the context of laptop use: professional/educational vs. casual/personal.\nTest Image: Two individuals using laptops at a table in a casual setting.\nConclusion: cat_1']
63 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals using laptops in professional or educational settings, such as offices, classrooms, or workspaces. The cat_1 images show individuals using laptops in more casual or personal environments, like homes, public transportation, or with children. The test image shows a man using a laptop while sitting on a couch with a cat, which is a casual setting.\nRule: The distinguishing rule is the setting in which the laptop is being used: professional/educational for cat_2 and casual/personal for cat_1.\nTest Image: A man using a laptop while sitting on a couch with a cat.\nConclusion: cat_1']
64 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images all feature a person and a dog engaging in a direct and affectionate interaction, such as kissing or nuzzling. In contrast, the cat_1 images show people and dogs interacting in various ways, but not with the specific affectionate behavior of kissing or nuzzling. The test image shows a person and a dog, but the interaction is not a kiss or nuzzle.\nRule: The presence of a direct affectionate interaction between a person and a dog, specifically kissing or nuzzling.\nTest Image: A person sitting on a couch with a dog, not engaging in a kiss or nuzzle.\nConclusion: cat_1']
65 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict a person and a dog engaging in a direct and affectionate interaction, such as kissing or nuzzling. The cat_1 images show interactions that are not direct or affectionate, like holding a dog, petting it, or posing with it without direct affectionate contact. The test image shows a person feeding a dog, which is not a direct affectionate interaction.\nRule: Direct affectionate interaction between a person and a dog.\nTest Image: A person feeding a dog an apple in a park.\nConclusion: cat_1']
66 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The cat_2 images all depict individuals actively eating a banana, with the banana partially in their mouth. The cat_1 images show individuals holding bananas but not eating them.\nRule: The person is actively eating the banana.\nTest Image: A child is eating a banana with the banana partially in their mouth.\nConclusion: cat_2']
67 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The cat_2 images all depict individuals actively eating a banana, while the cat_1 images show individuals holding bananas but not eating them.\nRule: The person is eating a banana.\nTest Image: A woman holding a bunch of bananas but not eating them.\nConclusion: cat_1']
