experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show people walking dogs on leashes. The cat_1 images show people holding or interacting closely with dogs, often in a more intimate or caregiving manner (e.g., bathing, cuddling, examining).\nRule: The presence of a leash connecting a person to a dog.\nTest Image: The test image shows a dog sitting and looking at the camera, wearing a collar but not connected to a leash.\nConclusion: cat_1']'
15 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images depict people riding motorcycles on paved roads, often in a more relaxed or formal setting. The cat_1 images show motorcycles being ridden in off-road or racing conditions, often with jumps or dirt involved.\nRule: The presence of paved road surface under the motorcycle.\nTest Image: The test image shows a person riding a motorcycle on a paved road.\nConclusion: cat_2']'
16 | expected:'cat_2' | got='cat_2 | full: ["Analysis: The cat_2 images show a person operating a train from the driver's cabin, with a clear view of the tracks ahead. The cat_1 images show passengers inside a train, often crowded, and not in the driver's cabin.\nRule: The presence of a driver operating the train from the driver's cabin.\nTest Image: The test image shows a person operating a train from the driver's cabin, with a clear view of the controls and tracks.\nConclusion: cat_2"]'
17 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images all show the view from inside the driver's cabin of a train, with a person operating the train. The cat_1 images show passengers inside a train.\nRule: The presence of a train driver in the driver's cabin.\nTest Image: The test image shows passengers standing in a train, looking out of the window. There is no driver visible.\nConclusion: cat_1"]'
18 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict someone cleaning a motorcycle with a cloth or sponge. The cat_1 images all depict motorcycles in motion, often jumping or racing.\nRule: The presence of someone cleaning a motorcycle distinguishes cat_2 from cat_1.\nTest Image: The test image shows a person cleaning a motorcycle with a sponge.\nConclusion: cat_2']'
19 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict someone cleaning a motorcycle with a cloth. The cat_1 images show motorcycles in action - jumping, racing, or driving in wet conditions.\nRule: The presence of someone cleaning a motorcycle with a cloth.\nTest Image: The test image shows a person riding a motorcycle on a road.\nConclusion: cat_1']'
20 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people playing sports, specifically with a ball, and wearing sports uniforms. The cat_1 images do not show people playing sports with a ball or wearing sports uniforms.\nRule: The presence of people playing a sport with a ball and wearing sports uniforms.\nTest Image: The test image shows a family crossing a street. No one is playing a sport, and they are not wearing sports uniforms.\nConclusion: cat_1']'
21 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all feature people wearing military or police uniforms. The cat_1 images do not.\nRule: Presence of military or police uniform.\nTest Image: The test image shows people playing soccer, none of them are wearing military or police uniforms.\nConclusion: cat_1']'
22 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images depict motorcycles in a racing context, specifically on a paved track with other racers, often leaning into turns. The cat_1 images show motorcycles performing jumps or stunts, often off-road or in a more freestyle setting.\nRule: Cat_2 images show motorcycles racing on a paved track, while cat_1 images show motorcycles performing jumps or stunts.\nTest Image: The test image shows motorcycles on a paved road, with pedestrians nearby, and does not depict a racing scenario.\nConclusion: cat_1']'
23 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images depict road racing motorcycles on paved tracks, often with multiple bikes visible and spectators in the background. The cat_1 images show dirt bikes performing jumps or racing on off-road tracks.\nRule: The presence of a paved road/track versus an off-road/dirt track.\nTest Image: The test image shows multiple dirt bikes performing jumps.\nConclusion: cat_1']'
24 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a person kissing a dog on the lips. The cat_1 images show dogs in various other interactions with people, but not a direct lip-to-lip kiss.\nRule: The presence of a person kissing a dog on the lips.\nTest Image: The test image shows a woman kissing a small dog on the lips.\nConclusion: cat_2']'
25 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a person kissing a dog on the mouth. The cat_1 images show people interacting with dogs in ways other than kissing them on the mouth - petting, training, or simply walking alongside.\nRule: The presence of a person kissing a dog on the mouth.\nTest Image: The test image shows a person walking a dog on a leash; there is no kissing occurring.\nConclusion: cat_1']'
26 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a person performing a trick *while in the air* on a skateboard. The cat_1 images show people on skateboards, but they are either standing on the board, or are in the process of getting on/off the board, or are not actively performing a trick in mid-air.\nRule: The images in cat_2 show a person performing a trick in the air on a skateboard.\nTest Image: The test image shows a person in the air performing a trick on a skateboard.\nConclusion: cat_2']'
27 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all feature a single person performing a skateboarding trick, often involving airtime or a dynamic pose. The cat_1 images show people on skateboards, but not performing tricks or in dynamic poses; they are either standing, posing, or casually riding.\nRule: The images in cat_2 show a single person performing a skateboarding trick.\nTest Image: The test image shows multiple people on skateboards, none of whom are performing a trick or in a dynamic pose.\nConclusion: cat_1']'
28 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show people cleaning motorcycles, often with cleaning supplies visible. The cat_1 images show motorcycles in a racing or riding context, with riders wearing helmets and protective gear.\nRule: The presence of cleaning activities (washing, polishing) on the motorcycle distinguishes cat_2 from cat_1, which depicts motorcycles in a racing/riding context.\nTest Image: The test image shows people cleaning a motorcycle.\nConclusion: cat_2']'
29 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict someone washing or cleaning a motorcycle. The cat_1 images show motorcycles in a racing or riding context, often with riders wearing helmets and protective gear.\nRule: The presence of someone actively washing or cleaning a motorcycle.\nTest Image: The test image shows a motorcycle driving on a city street with parked cars and pedestrians. No washing or cleaning is taking place.\nConclusion: cat_1']'
30 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict cyclists actively riding their bikes in a race or competition setting. The cat_1 images show cyclists stopped, working on their bikes, or posing with them.\nRule: The images are categorized based on whether the cyclist is actively riding (cat_2) or not (cat_1).\nTest Image: The test image shows three cyclists actively riding their bikes, appearing to be in a race or competition.\nConclusion: cat_2']'
31 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict cyclists actively racing or riding in a competitive setting, often in a peloton or with a clear focus on speed and performance. The cat_1 images show people working on or around bicycles, but not actively racing.\nRule: The presence of active racing/competitive cycling.\nTest Image: The test image shows a person working on a bicycle, adjusting components. It does not depict racing or competitive cycling.\nConclusion: cat_1']'
32 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show people actively flying kites, with the kite being the primary focus and in motion. The cat_1 images show people either holding or lying near kites, but not actively flying them. The kites in cat_1 are often stationary or the person is not engaged in the act of flying.\nRule: The presence of a person actively flying a kite.\nTest Image: The test image shows a person holding a kite with streamers, appearing to be in the process of launching or controlling it.\nConclusion: cat_2']'
33 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all show people actively running with kites in the air. The cat_1 images show people either lying down, sitting, or standing still while interacting with kites.\nRule: The presence of running with a kite in the air.\nTest Image: The test image shows people running with a kite in the air.\nConclusion: cat_2']'
34 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a person kissing a dog on the lips. The cat_1 images show a person interacting with a dog in ways other than kissing on the lips - bathing, walking, holding, etc.\nRule: The presence of a person kissing a dog on the lips.\nTest Image: The test image shows a person kissing a dog on the lips.\nConclusion: cat_2']'
35 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a person kissing a dog on the lips. The cat_1 images show a person interacting with a dog in ways other than kissing on the lips - bathing, walking, holding, or being near a dog with a water hose.\nRule: The presence of a person kissing a dog on the lips.\nTest Image: The test image shows a person holding a young goat and appears to be nuzzling it, but not kissing it on the lips.\nConclusion: cat_1']'
36 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The cat_2 images depict couples kissing. The cat_1 images show people in embraces that are not romantic kisses, often involving individuals in uniform or in non-intimate settings.\nRule: The images in cat_2 show couples kissing each other.\nTest Image: The test image shows a man and a woman with their hands touching and the man leaning towards the woman's hand, but they are not kissing.\nConclusion: cat_1"]'
37 | expected:'cat_1' | got='cat_2 | full: ["Analysis: The cat_2 images depict couples kissing. The cat_1 images show people embracing or hugging, but not necessarily kissing.\nRule: The presence of a kiss distinguishes cat_2 images from cat_1 images.\nTest Image: The test image shows a couple embracing with the woman's face close to the man's, appearing to be kissing.\nConclusion: cat_2"]'
38 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all feature a single person performing a skateboarding trick in mid-air, with a focus on the individual and their action. The cat_1 images show multiple people, often in a more static or posed setting, or a person standing on the board.\nRule: The number of people in the image. Cat_2 has only one person, cat_1 has more than one.\nTest Image: The test image shows a single person performing a skateboarding trick in mid-air.\nConclusion: cat_2']'
39 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a single person performing a skateboarding trick in a skatepark setting. The cat_1 images show multiple people, often with a child, and are more posed or instructional in nature, not actively performing a trick.\nRule: The images in cat_2 show a single person performing a skateboarding trick.\nTest Image: The test image shows a father and a child with a skateboard.\nConclusion: cat_1']'
40 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all feature people wearing historical costumes, specifically resembling colonial or revolutionary war attire. The cat_1 images do not show anyone in such attire.\nRule: Presence of people wearing colonial/revolutionary war costumes.\nTest Image: The test image shows a person holding a puppy, with no one wearing historical costumes.\nConclusion: cat_1']'
41 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all feature people dressed in historical costumes, specifically resembling colonial or revolutionary war attire. The cat_1 images do not have this characteristic.\nRule: Presence of people in colonial/historical attire.\nTest Image: The test image shows a woman in a wedding dress kissing a black dog. There are no people in historical attire.\nConclusion: cat_1']'
42 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all appear to be taken from a higher vantage point, looking down on a table with people seated around it. The cat_1 images are taken at eye level or from a lower angle, showing a more direct view of the people and table.\nRule: The images in cat_2 are taken from a high angle looking down on the scene.\nTest Image: The test image is taken from a high angle, looking down on a table with food and a person taking a picture.\nConclusion: cat_2']'
43 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all appear to show people seated around a table, actively eating or engaged in a meal. The cat_1 images show people seated around a table, but not necessarily eating or actively engaged in a meal - they are more likely observing or participating in an event.\nRule: The presence of food being actively consumed on the table.\nTest Image: The test image shows people seated at a table with drinks, but no visible food being consumed.\nConclusion: cat_1']'
44 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a person lying down while a dog is standing on them. The cat_1 images show people standing or sitting while interacting with dogs.\nRule: The person in the image is lying down and the dog is standing on them.\nTest Image: The test image shows a person lying on a couch with a dog standing on them.\nConclusion: cat_2']'
45 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people interacting with statues of dogs. The cat_1 images all depict people interacting with live dogs.\nRule: The images are categorized based on whether the dog is a statue or a live animal.\nTest Image: The test image depicts a person interacting with a dog wearing costume.\nConclusion: cat_1']'
46 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a single person performing a skateboarding trick in mid-air, often involving a jump or aerial maneuver. The cat_1 images show people skateboarding in a more static or grounded manner, often with multiple people present or in a learning/teaching context.\nRule: The images in cat_2 show a single person performing a skateboarding trick in the air.\nTest Image: The test image shows a single person performing a skateboarding trick in the air.\nConclusion: cat_2']'
47 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict a person performing a trick or jump *on* a skateboard. The cat_1 images show people either standing or sitting *with* a skateboard, or teaching others to skate.\nRule: The presence of a person actively performing a trick or jump on a skateboard.\nTest Image: The test image shows a person holding a skateboard above their head, not riding or performing a trick on it.\nConclusion: cat_1']'
48 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show a person kissing a dog on the mouth. The cat_1 images show people interacting with dogs in other ways (petting, holding, standing near) but not kissing them on the mouth.\nRule: The presence of a person kissing a dog on the mouth.\nTest Image: The test image shows a person kissing a dog on the mouth.\nConclusion: cat_2']'
49 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show a person kissing a dog on the lips. The cat_1 images show people interacting with dogs in ways other than kissing them on the lips (petting, holding, grooming, playing).\nRule: The presence of a person kissing a dog on the lips.\nTest Image: The test image shows a person petting a dog on the head.\nConclusion: cat_1']'
50 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all depict modern scenes of people riding bicycles in an outdoor setting, often in urban environments. The cat_1 images depict older, historical scenes of bicycles or bicycle shops, often in black and white or with a vintage aesthetic.\nRule: The presence of modern clothing and surroundings versus historical or vintage depictions.\nTest Image: The test image is a black and white photograph depicting a street scene with people riding bicycles and a rickshaw in front of a large building, appearing to be from an earlier time period.\nConclusion: cat_1']'
51 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all show people riding bicycles on a road or street, with the bicycle wheels touching the ground. The cat_1 images show bicycles in a shop, a historical illustration of a bicycle, or a bicycle performing a trick in the air.\nRule: The presence of bicycle wheels touching the ground.\nTest Image: The test image shows people riding bicycles on a road, with the bicycle wheels touching the ground.\nConclusion: cat_2']'
52 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a person kicking a soccer ball. The cat_1 images depict people playing other sports (tennis, baseball) or are not actively playing a sport.\nRule: The presence of a person actively kicking a soccer ball.\nTest Image: The test image shows a person kicking a soccer ball.\nConclusion: cat_2']'
53 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people playing soccer/football. The cat_1 images depict people playing other sports (tennis, basketball) or are not actively engaged in a sport.\nRule: The images belong to cat_2 if they show people playing soccer/football.\nTest Image: The test image shows a person spinning a basketball on their finger.\nConclusion: cat_1']'
54 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all depict adults holding knives while preparing food. The cat_1 images depict people (adults and children) holding knives in non-food preparation contexts, or in a strange/unnatural way.\nRule: The images in cat_2 show adults preparing food with a knife.\nTest Image: The test image shows a child dressed as Batman holding a knife near a piece of bread.\nConclusion: cat_1']'
55 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people holding a knife in a threatening or aggressive manner, often with a focused or intense expression. The cat_1 images show people holding a knife while preparing food or in a more casual setting.\nRule: The presence of a threatening or aggressive pose with the knife.\nTest Image: The test image shows a person cutting a sandwich with a knife in a normal, food preparation context.\nConclusion: cat_1']'
56 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict people kissing. The cat_1 images all depict people shaking hands.\nRule: The images are categorized based on the type of physical contact depicted: kissing vs. handshaking.\nTest Image: The test image depicts two people kissing.\nConclusion: cat_2']'
57 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all depict people kissing. The cat_1 images all depict people shaking hands.\nRule: The images are categorized based on the type of physical contact: kissing vs. handshaking.\nTest Image: The test image shows two people facing each other, with their faces close, appearing to be about to kiss.\nConclusion: cat_2']'
58 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show people seated at tables with food, and the tables are covered with a tablecloth. The cat_1 images also show people seated at tables with food, but the tables are *not* covered with a tablecloth.\nRule: The presence of a tablecloth on the table.\nTest Image: The test image shows a person seated at a table with food, and the table *is* covered with a tablecloth.\nConclusion: cat_2']'
59 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show people seated at tables with food or drinks, and the tables are covered with tablecloths. The cat_1 images also show people at tables with food or drinks, but the tables are *not* covered with tablecloths.\nRule: The presence of a tablecloth on the table.\nTest Image: The test image shows people seated at a table with drinks, but the table is not covered with a tablecloth.\nConclusion: cat_1']'
60 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all feature people in formal or semi-formal attire (suits, dresses, etc.) in outdoor settings, often with a building or landscape in the background. The cat_1 images depict people in sports attire actively playing sports.\nRule: The presence of people in formal or semi-formal attire.\nTest Image: The test image shows people in sports attire playing tennis.\nConclusion: cat_1']'
61 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all feature people posing for a picture, often with a backdrop of a building or scenery. The cat_1 images all depict people actively playing sports, specifically soccer or tennis.\nRule: The presence of people posing for a picture versus people actively playing sports.\nTest Image: The test image shows people actively playing soccer.\nConclusion: cat_1']'
62 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all feature a single person using a laptop. The cat_1 images all feature multiple people using laptops or other devices.\nRule: Number of people using a laptop/device. Cat_2 has one person, cat_1 has multiple people.\nTest Image: The test image shows two people using laptops.\nConclusion: cat_1']'
63 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all feature a person using a laptop with no other person visible in the frame. The cat_1 images all feature more than one person in the frame, with at least one person using a laptop.\nRule: The number of people in the image. Cat_2 has one person, cat_1 has more than one person.\nTest Image: The test image shows one person using a laptop.\nConclusion: cat_2']'
64 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show people kissing dogs on the mouth. The cat_1 images show people hugging or nuzzling dogs, but not kissing them on the mouth.\nRule: The presence of a mouth-to-mouth kiss between a person and a dog.\nTest Image: The test image shows a woman kissing a dog on the mouth.\nConclusion: cat_2']'
65 | expected:'cat_1' | got='cat_1 | full: ["Analysis: The cat_2 images all depict people kissing dogs on the face. The cat_1 images show people hugging or closely embracing dogs, but not kissing them on the face.\nRule: The presence or absence of a kiss on the dog's face.\nTest Image: The test image shows a woman holding a ball and interacting with a dog, but there is no kiss visible.\nConclusion: cat_1"]'
66 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all show people eating a banana directly with their mouth. The cat_1 images show people holding or peeling a banana, but not actively eating it with their mouth.\nRule: The presence or absence of a person eating a banana directly with their mouth.\nTest Image: The test image shows a person eating a banana directly with their mouth.\nConclusion: cat_2']'
67 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show people peeling and eating a banana. The images in cat_1 show people holding a banana, but not necessarily peeling or eating it.\nRule: The presence of someone peeling or eating a banana.\nTest Image: The test image shows a person holding a bunch of bananas, not peeling or eating one.\nConclusion: cat_1']'
68 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images show people holding bananas, not eating them. The cat_1 images show people eating bananas.\nRule: The presence or absence of someone eating a banana.\nTest Image: The test image shows a person eating a banana.\nConclusion: cat_1']'
69 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all feature people holding or interacting with bananas, but not eating them. The cat_1 images all show people eating bananas.\nRule: The presence or absence of someone eating a banana.\nTest Image: The test image shows a person standing on a rock with a banana peel visible on the ground, but not eating a banana.\nConclusion: cat_2']'
70 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a person cleaning a toilet. The cat_1 images show people performing other actions related to a toilet (repairing, inspecting, or simply using it).\nRule: The images in cat_2 show someone actively cleaning the toilet.\nTest Image: The test image shows a person cleaning a toilet with a sponge and gloves.\nConclusion: cat_2']'
71 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict someone actively cleaning a toilet, often with cleaning tools like brushes, sponges, or cleaning solutions. The cat_1 images show people interacting with the toilet in ways other than cleaning – sitting on it, looking at it, or working on it (like installing).\nRule: The images are categorized based on whether someone is actively cleaning the toilet.\nTest Image: The test image shows a toilet with liquid inside and a trash can nearby, but no one is actively cleaning it.\nConclusion: cat_1']'
72 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show motorcycles in a relatively upright position, often in a group or during a parade/event, with the rider generally visible and upright. The cat_1 images show motorcycles leaning heavily into turns, often in a racing context, or performing stunts where the bike is significantly tilted.\nRule: The presence or absence of a significant lean angle of the motorcycle. Cat_2 images have minimal lean, while cat_1 images have a substantial lean.\nTest Image: The test image shows a motorcycle leaning significantly to the side during a race.\nConclusion: cat_1']'
73 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show motorcycles in a relatively upright position, often in a group or during a parade-like event. The cat_1 images show motorcycles leaning heavily into turns or airborne, indicating high speed and racing conditions.\nRule: The presence or absence of the motorcycle being upright. Cat_2 images show motorcycles in an upright position, while cat_1 images show motorcycles leaning or airborne.\nTest Image: The test image shows a motorcycle airborne, leaning heavily.\nConclusion: cat_1']'
74 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict a person in mid-air performing a skateboarding trick, actively using the skateboard. The cat_1 images show people holding or sitting with skateboards, but not actively performing a trick or in mid-air.\nRule: The images in cat_2 show a person actively skateboarding in the air, while cat_1 images show a person with a skateboard but not actively skateboarding.\nTest Image: The test image shows a person in mid-air performing a skateboarding trick.\nConclusion: cat_2']'
75 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all depict people in the middle of performing a skateboarding trick, in the air. The cat_1 images all depict people sitting or standing on the ground with a skateboard.\nRule: The images in cat_2 show people performing tricks *on* a skateboard, while the images in cat_1 show people *with* a skateboard but not actively using it for a trick.\nTest Image: The test image shows a person sitting on the ground with a skateboard and using a phone.\nConclusion: cat_1']'
76 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images all show a person using a laptop with food visible in the same frame. The cat_1 images show people using laptops, but without any visible food.\nRule: Presence of food in the same frame as a person using a laptop.\nTest Image: The test image shows two people using laptops, and there is no visible food in the frame.\nConclusion: cat_1']'
77 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The cat_2 images all show a person using a laptop with food present in the same scene. The cat_1 images show children using laptops or laptops being disassembled.\nRule: Presence of food in the same scene as a person using a laptop.\nTest Image: The test image shows a person using a laptop with another person holding a small laptop, and there is no food visible in the scene.\nConclusion: cat_1']'
