experiment run details:
  dataset: hoi
  model: phi hoi None
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009539052844047546, max_false: -0.007987726479768753, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.010424304753541946, max_false: -0.019462794065475464, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.010450045578181744, max_false: -0.02326945960521698, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.002698413794860244, max_false: 0.01763979159295559, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009599423967301846, max_false: 0.0075412471778690815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.003106968477368355, max_false: -0.01629367284476757, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.01078121643513441, max_false: 0.0007996922940947115, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.011421599425375462, max_false: 0.012138034217059612, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.008819852024316788, max_false: 0.006259705405682325, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00294648134149611, max_false: 0.019210074096918106, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0044854870066046715, max_false: 0.0040155984461307526, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02308022789657116, max_false: -0.007185433525592089, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.033804405480623245, max_false: -0.047577280551195145, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0053163254633545876, max_false: -0.012737266719341278, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0011868459405377507, max_false: -0.007254033349454403, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01751307211816311, max_false: -0.028130292892456055, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.011261039413511753, max_false: 0.02460118755698204, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.019095798954367638, max_false: 0.02362830750644207, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01614706963300705, max_false: -0.01763921231031418, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02816254273056984, max_false: -0.008976980112493038, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.011872089467942715, max_false: -0.012982992455363274, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.026031754910945892, max_false: 0.024236828088760376, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.023234358057379723, max_false: -0.020406119525432587, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -5.3647905588150024e-05, max_false: 0.01743796095252037, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0033713507000356913, max_false: 0.03627242520451546, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.03441180661320686, max_false: 0.0009581223712302744, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.028913026675581932, max_false: -0.020724128931760788, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.015640059486031532, max_false: -0.012446829117834568, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.018910106271505356, max_false: 0.00777672091498971, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0010021775960922241, max_false: -0.025670617818832397, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.020956197753548622, max_false: -0.014354711398482323, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.008247781544923782, max_false: 0.034559715539216995, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.016947850584983826, max_false: -0.024487918242812157, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.009126455523073673, max_false: 0.0298558808863163, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.005556369666010141, max_false: -0.019946275278925896, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.017305418848991394, max_false: 0.019735248759388924, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.03054751828312874, max_false: -0.024887431412935257, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.006627234164625406, max_false: 0.01614585891366005, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.023599453270435333, max_false: -0.0026358854956924915, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01034234557300806, max_false: 0.028953256085515022, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.008521351031959057, max_false: 0.011694828979671001, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.012768521904945374, max_false: 0.022030377760529518, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01585277169942856, max_false: 0.006190460175275803, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.009159514680504799, max_false: -0.03385018929839134, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.006865388713777065, max_false: -0.008755085058510303, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: -0.016423748806118965, max_false: 0.011340546421706676, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0356321819126606, max_false: -0.012479271739721298, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.000170048326253891, max_false: 0.008150303736329079, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.031607698649168015, max_false: 0.008373095653951168, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.00530126690864563, max_false: 0.0009707696735858917, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.008066856302320957, max_false: 0.00839578453451395, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.011552833952009678, max_false: 0.029144328087568283, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.00041030722786672413, max_false: -0.019640963524580002, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.037553463131189346, max_false: -0.020107509568333626, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.02821083925664425, max_false: 0.027224116027355194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.013155634514987469, max_false: 0.01451585628092289, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.011711779050529003, max_false: 0.025525595992803574, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.00144538888707757, max_false: 0.0025816126726567745, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.001028815284371376, max_false: -0.009510278701782227, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02688414976000786, max_false: 0.004439059179276228, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.013615631498396397, max_false: -0.020896365866065025, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.014938993379473686, max_false: 0.011170105077326298, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.017568031325936317, max_false: 0.03031846508383751, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0018982412293553352, max_false: -0.00041014657472260296, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.027607319876551628, max_false: 0.005412057973444462, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.008138339966535568, max_false: 0.021488752216100693, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.01738334447145462, max_false: -0.00131553178653121, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0018612751737236977, max_false: -0.015888499096035957, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.035496219992637634, max_false: 0.009057480841875076, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0015321793034672737, max_false: 0.0015013156225904822, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00044695570250041783, max_false: -0.016488919034600258, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00978971365839243, max_false: -0.011122116819024086, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.00960860401391983, max_false: -0.007769735995680094, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.025918133556842804, max_false: -0.011134645901620388, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02038172073662281, max_false: 0.0054898993112146854, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0015662978403270245, max_false: 0.004159722477197647, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0020842356607317924, max_false: -0.006063099484890699, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.006720319390296936, max_false: 0.026071619242429733, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.011018885299563408, max_false: 0.02061772346496582, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009852319955825806, max_false: 0.0049478840082883835, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02839617431163788, max_false: -0.006668843328952789, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0014161532744765282, max_false: -0.029403524473309517, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01818464696407318, max_false: -0.030385447666049004, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.016014689579606056, max_false: 0.00880312081426382, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009928721003234386, max_false: -0.0008202810422517359, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.019355839118361473, max_false: -0.0007868747343309224, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.02003519795835018, max_false: -0.004118690267205238, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009447245858609676, max_false: -0.029688434675335884, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.014804062433540821, max_false: 0.0027280766516923904, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0032416388858109713, max_false: 0.013472368009388447, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.017067061737179756, max_false: -0.012047968804836273, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.007953801192343235, max_false: -0.004456088878214359, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.012517928145825863, max_false: -0.03467543423175812, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.011710666120052338, max_false: -0.005407691467553377, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00446529733017087, max_false: 0.011844335123896599, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00945355836302042, max_false: 0.0032485700212419033, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.013675238005816936, max_false: -0.01681455597281456, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00938746053725481, max_false: 0.0025709287729114294, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.007669615559279919, max_false: 0.012022186070680618, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.001716521568596363, max_false: 0.0016279388219118118, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0022797936107963324, max_false: -0.002203508047387004, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0035842012148350477, max_false: -0.01941814459860325, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.008513068780303001, max_false: 0.024669675156474113, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.006876196712255478, max_false: -0.02128157578408718, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.014317270368337631, max_false: 0.012149946764111519, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.013028140179812908, max_false: -0.005028735846281052, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01574634201824665, max_false: 0.010355611331760883, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.023627934977412224, max_false: 0.02030779793858528, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0032640784047544003, max_false: 0.008741422556340694, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01437707431614399, max_false: -0.01187229622155428, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.026920756325125694, max_false: -0.007753623183816671, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00631477078422904, max_false: 0.027371898293495178, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.001011572894640267, max_false: 0.020470956340432167, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.016406571492552757, max_false: 0.024705350399017334, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.018529610708355904, max_false: 0.028227798640727997, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.014640199020504951, max_false: 0.014290407299995422, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.030701618641614914, max_false: -0.007284277118742466, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.03439211845397949, max_false: -0.02481980249285698, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.03720259666442871, max_false: 0.02056381106376648, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -8.504093420924619e-05, max_false: -0.0033796338830143213, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.020424045622348785, max_false: 0.027628520503640175, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0074688163585960865, max_false: 0.014093213714659214, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01752512715756893, max_false: -0.020087825134396553, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.010876457206904888, max_false: -0.0049978080205619335, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.008765949867665768, max_false: -0.015638429671525955, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.006274089682847261, max_false: 0.015533072873950005, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.010817186906933784, max_false: -0.005120380781590939, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.00026298966258764267, max_false: -0.03728334233164787, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.005282178986817598, max_false: -0.0012261361116543412, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.013848409987986088, max_false: -0.008488637395203114, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0209759883582592, max_false: -0.011628816835582256, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.025140203535556793, max_false: 0.029293188825249672, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.04902011156082153, max_false: 0.03254825621843338, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0267231073230505, max_false: 0.02989513799548149, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.01246547233313322, max_false: 0.012544283643364906, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0190174151211977, max_false: 0.036192189902067184, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.010108372196555138, max_false: -0.009960363619029522, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0008790898718871176, max_false: 0.006453063804656267, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.004442408215254545, max_false: -0.008679566904902458, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.00017637573182582855, max_false: 0.008609892800450325, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01562906615436077, max_false: 0.008252434432506561, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.018285999074578285, max_false: 0.011070694774389267, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.04834142327308655, max_false: -0.006828929763287306, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.008413863368332386, max_false: -0.01068499218672514, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0054114582017064095, max_false: -0.010171836242079735, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0003299303352832794, max_false: -0.04330006614327431, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.015951301902532578, max_false: 0.00015070103108882904, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.029905319213867188, max_false: 0.003762652399018407, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02252000942826271, max_false: 0.018127955496311188, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.022914031520485878, max_false: -0.00045548801426775753, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.002854319056496024, max_false: -0.015194537118077278, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.024813959375023842, max_false: -0.013594679534435272, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.008921508677303791, max_false: 0.002756395610049367, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.03351965919137001, max_false: -0.006165189202874899, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.025707833468914032, max_false: -0.0035489252768456936, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.006254691630601883, max_false: -0.02117641642689705, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.011342926882207394, max_false: -0.04402540624141693, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.026514332741498947, max_false: -0.0013126414269208908, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.01033405028283596, max_false: -0.01229608990252018, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.03543994203209877, max_false: 0.03542495518922806, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02221779339015484, max_false: 0.00297182728536427, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.029379209503531456, max_false: 0.03641675040125847, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0005554637755267322, max_false: -0.015030276030302048, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.010842188261449337, max_false: -0.010436279699206352, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.02194598875939846, max_false: -0.0009331000037491322, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01717926561832428, max_false: 0.03069065697491169, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0022666589356958866, max_false: 0.005708338692784309, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0035844671074301004, max_false: 0.030578743666410446, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009211968630552292, max_false: -0.0030128846410661936, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.002695423783734441, max_false: 0.012449326924979687, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.007278398144990206, max_false: 0.015219057910144329, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.001882000477053225, max_false: -0.022547448053956032, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.006046172697097063, max_false: -0.015239673666656017, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.014245164580643177, max_false: -0.013963607139885426, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.008924412541091442, max_false: 0.004554373677819967, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.00027232806314714253, max_false: -0.005641160532832146, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0008524945587851107, max_false: -0.009976734407246113, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.039614878594875336, max_false: -0.02224360965192318, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0049476660788059235, max_false: -0.01516704075038433, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.013770999386906624, max_false: -0.04530312120914459, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.009058480150997639, max_false: -0.02795587107539177, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.006530821789056063, max_false: 0.03215920925140381, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.011422159150242805, max_false: 0.02461434341967106, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.0021911077201366425, max_false: 0.013732277788221836, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.03005731850862503, max_false: 0.008215750567615032, correct: False
---------------------------------------
Summary for Split 'test_seen_obj_seen_act':
 results: {'correct': {'cat_1': 57, 'cat_2': 36}, 'incorrect': {'cat_1': 43, 'cat_2': 64}}
 accuracy: 46.50%

---------------------------------------
  test split name: test_seen_obj_unseen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02927538752555847, max_false: 0.02582009881734848, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.015188074670732021, max_false: 0.019286619499325752, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.006257118657231331, max_false: 0.010512278415262699, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.008858724497258663, max_false: -0.017790984362363815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.030119366943836212, max_false: 0.017284197732806206, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.007594497408717871, max_false: 0.0070023322477936745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.001679016393609345, max_false: -0.04144999757409096, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.019557246938347816, max_false: -0.018891002982854843, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.012148506939411163, max_false: 0.015607473440468311, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.004925897344946861, max_false: -0.017698440700769424, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.0009867388289421797, max_false: -0.0096819456666708, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.011963248252868652, max_false: -0.00020976737141609192, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.02112964354455471, max_false: 0.001557733048684895, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.004381829872727394, max_false: -0.003855902235955, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01875760219991207, max_false: -0.002527774078771472, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.020478473976254463, max_false: -0.0074550858698785305, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.013848156668245792, max_false: 0.029236499220132828, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.0393281914293766, max_false: -0.02114344947040081, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.008445764891803265, max_false: -0.00038205369492061436, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.040011513978242874, max_false: 0.0027138392906636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.012904724106192589, max_false: 0.015541025437414646, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.01793660782277584, max_false: 0.017819002270698547, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: -0.004307188093662262, max_false: 0.032560084015131, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.007449870463460684, max_false: 0.012831577099859715, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.004711998626589775, max_false: -0.009537119418382645, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.01867499388754368, max_false: -0.0016029118560254574, correct: True
