experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people walking dogs. The `cat_1` images do not have this common element.\nRule: Images showing people walking dogs.\nTest Image: The test image shows a dog sitting and looking at the camera. It does not depict a person walking a dog.\nConclusion: cat_1']'
25 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The first six images (cat_2) all depict humans interacting with dogs in a close, affectionate manner – often with the dog licking the person’s face or body. The remaining six images (cat_1) show dogs in various contexts, but without the human-dog interaction element.\nRule: Images showing humans and dogs engaging in affectionate physical contact (licking, kissing, etc.).\nTest Image: The test image shows a man walking a dog on a sidewalk. There is no interaction between the man and the dog.\nConclusion: cat_1']'
26 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people skateboarding or performing skateboarding tricks. The cat_1 images do not depict skateboarding or related activities.\nRule: Images depicting skateboarding or skateboarding tricks.\nTest Image: The test image shows a person skateboarding.\nConclusion: cat_2']'
27 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people skateboarding or performing skateboarding tricks. The cat_1 images do not depict skateboarding or related activities.\nRule: Images depicting skateboarding or skateboarding tricks.\nTest Image: The test image shows children playing with skateboards.\nConclusion: cat_1']'
28 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict people washing or working on motorcycles. The cat_1 images do not show this activity.\nRule: Images showing people washing or working on motorcycles.\nTest Image: The test image shows people washing a motorcycle.\nConclusion: cat_2']'
29 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people washing motorcycles. The cat_1 images show various other activities involving motorcycles, such as racing, riding, and general use.\nRule: Images showing people washing motorcycles.\nTest Image: The test image shows a street with parked cars and a motorcycle. There are no people washing motorcycles.\nConclusion: cat_1']'
30 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all contain bicycles. The `cat_1` images do not contain bicycles.\nRule: Images containing bicycles.\nTest Image: The test image contains bicycles.\nConclusion: cat_2']'
31 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all depict people working on bicycles, specifically repairing or maintaining them. The cat_1 images show various scenes without any connection to bicycles or repair work.\nRule: Images featuring people working on bicycles.\nTest Image: A person is repairing a bicycle.\nConclusion: cat_2']'
32 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people actively flying kites. The cat_1 images do not depict any kites or kite-flying activities.\nRule: Images depicting people flying kites.\nTest Image: The test image shows a person holding and flying a kite.\nConclusion: cat_2']'
33 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people flying kites. The cat_1 images do not show any kites.\nRule: Images showing people flying kites.\nTest Image: The test image shows two people flying a kite.\nConclusion: cat_2']'
34 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person kissing or interacting affectionately with a dog. The dog is typically a golden retriever or similar breed.\nRule: People kissing or interacting affectionately with a dog.\nTest Image: A person kissing a dog.\nConclusion: cat_2']'
35 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The first six images (cat_2) all show a person kissing or interacting affectionately with a dog. The remaining six images (cat_1) show a person interacting with a different animal, typically a dog, but the interaction is not affectionate (e.g., bathing, playing, or simply holding).\nRule: People kissing or interacting affectionately with a dog.\nTest Image: The test image shows a person kissing a lamb.\nConclusion: cat_1']'
36 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict close physical contact between two people – kissing, hugging, or holding hands. The `cat_1` images show various other activities, such as military training, studying, or casual interactions without physical intimacy.\nRule: Images showing close physical contact between two people.\nTest Image: The test image shows a man and a woman holding hands.\nConclusion: cat_2']'
37 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict close embraces or kisses between two people. The `cat_1` images show various other interactions, such as military personnel, students, or people in professional settings.\nRule: Images showing close embraces or kisses between two people.\nTest Image: The test image shows a close embrace between two people.\nConclusion: cat_2']'
38 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people skateboarding or performing skateboarding tricks. The cat_1 images do not depict skateboarding or related activities.\nRule: Images depicting skateboarding or skateboarding tricks.\nTest Image: The test image shows a person skateboarding.\nConclusion: cat_2']'
39 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people skateboarding in skate parks. The cat_1 images do not depict skateboarding or skate parks.\nRule: Images depicting people skateboarding in skate parks.\nTest Image: The test image shows a young boy and his father on a skateboard. It is a typical scene of a father and son learning to skateboard.\nConclusion: cat_1']'
40 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people holding dogs or puppies. The `cat_1` images do not contain this element.\nRule: Images containing people holding dogs or puppies.\nTest Image: The test image shows a puppy being held by a hand.\nConclusion: cat_2']'
41 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people interacting with dogs, specifically holding or touching them. The `cat_1` images do not show this interaction.\nRule: Images showing people interacting with dogs (holding, touching, etc.).\nTest Image: The test image shows a woman kissing a dog.\nConclusion: cat_2']'
42 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict scenes of people sitting around tables, likely at a restaurant or party. They show groups of people engaged in conversation and eating. The `cat_1` images show people in various settings, including outdoors and in homes, but without the central element of a table setting and group interaction.\n\nRule: Images showing people seated around a table, engaged in eating or conversation.\n\nTest Image: A man sitting alone at a table outdoors, eating and looking out a window.\n\nConclusion: cat_1']'
43 | expected:'cat_1' | got='cat_2 | full: ["Analysis: The `cat_2` images all depict groups of people sitting around tables, often at restaurants or parties, with food and drinks present. The focus is on social gatherings and dining. The `cat_1` images show people in various settings, but they don't consistently feature tables with food and drinks, or groups of people engaged in a meal.\n\nRule: Images showing people gathered around tables with food and drinks.\n\nTest Image: The test image shows two people sitting at a table with drinks and food.\n\nConclusion: cat_2"]'
44 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people interacting with dogs, specifically petting or holding them. The `cat_1` images show people with dogs, but the interaction is different – they are walking with them, or the dogs are lying down.\nRule: People interacting with dogs (petting, holding, etc.).\nTest Image: A woman is lying on a couch with a dog, and they are both looking at the camera.\nConclusion: cat_2']'
45 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people interacting with dogs. The dogs are the primary focus of the image and are often being held, petted, or otherwise engaged with by a person.\nRule: Images featuring people interacting with dogs.\nTest Image: The test image shows a woman with a dog. It does not show a person interacting with the dog.\nConclusion: cat_1']'
46 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people skateboarding.\nRule: Images depicting people skateboarding.\nTest Image: The test image shows a person skateboarding.\nConclusion: cat_2']'
47 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The first six images (cat_2) all depict people skateboarding. The last image shows a man holding a longboard.\nRule: All images show people skateboarding.\nTest Image: The test image shows a man holding a longboard.\nConclusion: cat_1']'
48 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people kissing or interacting affectionately with dogs. The dogs are consistently featured as the subject of affection.\nRule: Images depicting affectionate interactions between humans and dogs.\nTest Image: The test image shows a woman kissing a small dog.\nConclusion: cat_2']'
49 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people interacting with dogs, specifically with the dogs licking the faces of the people. The `cat_1` images show various interactions with dogs, but without the face-licking element.\nRule: People kissing or licking dogs.\nTest Image: The test image shows a person interacting with a dog, but there is no face-licking.\nConclusion: cat_1']'
50 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature bicycles prominently, often with people riding them or involved in cycling activities. The focus is consistently on bicycles and cycling scenes.\nRule: Images featuring bicycles and cycling activities.\nTest Image: The test image shows a street scene with numerous bicycles and people riding them.\nConclusion: cat_2']'
51 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people riding bicycles in various outdoor settings, often with multiple people or groups of people. The images show a focus on cycling activities and the presence of multiple people on bikes.\nRule: Images featuring multiple people riding bicycles outdoors.\nTest Image: The test image shows two people riding bicycles on a road with cars and other vehicles in the background.\nConclusion: cat_2']'
52 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people playing soccer or football. The cat_1 images show people in various other activities, such as walking, standing, or posing.\nRule: Images depicting people playing soccer or football.\nTest Image: The test image shows a person playing soccer.\nConclusion: cat_2']'
53 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people playing soccer.\nRule: All images depict people playing soccer.\nTest Image: The test image shows a person holding a basketball.\nConclusion: cat_1']'
54 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people (children and adults) holding knives and preparing food. The images depict kitchen scenes with food items and knives.\nRule: Images showing people holding knives while preparing food.\nTest Image: A child is holding a knife and a piece of bread.\nConclusion: cat_2']'
55 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict people holding knives and cutting food items, particularly vegetables and sandwiches. The remaining six images (cat_1) do not show anyone holding a knife or cutting food.\nRule: People holding knives and cutting food.\nTest Image: A person is holding a knife and cutting a sandwich.\nConclusion: cat_2']'
56 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict close physical contact between two people – kissing, hugging, or shaking hands. The last six images (cat_1) show various interactions, including business meetings, military interactions, and general social interactions, but none involve the same level of intimate physical contact.\nRule: Images showing close physical contact between two people.\nTest Image: The test image shows two men kissing.\nConclusion: cat_2']'
57 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict close physical contact between two people – kissing, hugging, or shaking hands. The `cat_1` images show various interactions, including business meetings, military operations, and general social interactions without physical contact.\nRule: Images showing physical contact between two people.\nTest Image: The test image shows two people shaking hands.\nConclusion: cat_1']'
58 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict groups of people sitting around tables, likely at a meal or social gathering. The tables are covered with tablecloths, and there are plates, glasses, and food present. The `cat_1` images show various scenes, including people sitting in chairs, but without the specific table setting and meal context.\n\nRule: Images showing people seated around tables with food and drinks.\n\nTest Image: The test image shows a woman sitting at a table with plates of food and a checkered tablecloth.\n\nConclusion: cat_2']'
59 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict groups of people seated around tables, often eating or drinking. The tables are typically covered with tablecloths and have various food and drink items on them. The people in the images are generally engaged in conversation or activities related to a meal.\n\nRule: Images showing people gathered around tables with food and drinks.\n\nTest Image: The test image shows three people sitting at a table, each holding a cup of coffee and a saucer. There is no food or drink on the table.\n\nConclusion: cat_1']'
60 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature multiple children, typically wearing school uniforms or similar outfits, and are engaged in outdoor activities like playing sports or attending events. The `cat_1` images predominantly show single individuals, often adults, in casual clothing, and are generally related to leisure or personal activities.\n\nRule: Images with multiple children in formal or semi-formal attire engaged in group activities are `cat_2`.\n\nTest Image: The test image shows two adults playing tennis.\n\nConclusion: cat_1']'
61 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature multiple children, typically dressed in school uniforms or similar outfits, engaged in outdoor activities like playing with balls or interacting with each other. The images have a bright, cheerful, and family-oriented feel. The `cat_1` images show single individuals, often adults, in more formal or business-like settings.\n\nRule: Images with multiple children in outdoor settings with recreational activities.\n\nTest Image: The test image shows two young men playing soccer.\n\nConclusion: cat_1']'
62 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people using laptops. All the cat_1 images do not show people using laptops.\nRule: Images showing people using laptops.\nTest Image: Shows two people using laptops.\nConclusion: cat_2']'
63 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people using laptops in various settings, often with a focus on work or study. The images show people at desks, in classrooms, on trains, and in other environments where they are engaged with computers. The `cat_1` images show children playing with laptops, or people using laptops in more casual or relaxed settings.\nRule: Images showing people actively using laptops for work or study.\nTest Image: A man is sitting on a couch with a cat and using a laptop.\nConclusion: cat_2']'
64 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people hugging or kissing dogs. The cat_1 images do not show this interaction.\nRule: Images showing people hugging or kissing dogs.\nTest Image: A woman is kissing a poodle.\nConclusion: cat_2']'
65 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people interacting with dogs, often in affectionate or close proximity. The dogs are frequently in the foreground and appear to be part of the scene.\nRule: Images featuring people and dogs in close, affectionate interactions.\nTest Image: A woman is playing with a dog, holding a ball and extending her hand to the dog.\nConclusion: cat_2']'
66 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people eating bananas. All the cat_1 images show people eating other fruits.\nRule: People eating bananas.\nTest Image: A child is eating a banana.\nConclusion: cat_2']'
67 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people eating bananas. All the cat_1 images show people eating other fruits.\nRule: People eating bananas.\nTest Image: A woman is holding a bunch of bananas.\nConclusion: cat_2']'
68 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people eating bananas. All the cat_1 images do not show people eating bananas.\nRule: Images showing people eating bananas belong to cat_2.\nTest Image: The test image shows a man eating a banana.\nConclusion: cat_2']'
69 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people eating bananas. The cat_1 images do not show people eating bananas.\nRule: Images showing people eating bananas.\nTest Image: A man is standing on a rock and eating a banana.\nConclusion: cat_2']'
70 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people cleaning or working on a toilet. The people are wearing gloves and using cleaning supplies.\nRule: Images depicting people cleaning or working on a toilet with gloves and cleaning supplies.\nTest Image: A man is cleaning a toilet with a cleaning tool and gloves.\nConclusion: cat_2']'
71 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people cleaning or interacting with a toilet. The images consistently feature individuals wearing gloves and using cleaning supplies around the toilet bowl.\nRule: Images depicting people cleaning or interacting with a toilet.\nTest Image: The test image shows a toilet with no one cleaning it, just the toilet itself.\nConclusion: cat_1']'
72 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show motorcycles or motorcycle racing events. The cat_1 images do not depict motorcycles or racing.\nRule: Images featuring motorcycles or motorcycle racing.\nTest Image: The test image shows a motorcycle drag racing.\nConclusion: cat_2']'
73 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show motorcycles and people involved in motorcycle racing or related events. The cat_1 images do not depict motorcycles or racing.\nRule: Images featuring motorcycles and people involved in motorcycle racing or related events.\nTest Image: The test image shows a motorcycle rider in a race.\nConclusion: cat_2']'
74 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all depict people skateboarding or performing tricks on skateboards. The cat_1 images do not show any skateboarding or similar activities.\nRule: Images showing people skateboarding or performing tricks on skateboards.\nTest Image: The test image shows a person skateboarding in a skatepark.\nConclusion: cat_2']'
75 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people skateboarding or performing skateboarding tricks. The cat_1 images do not depict skateboarding or related activities.\nRule: Images depicting skateboarding or skateboarding tricks.\nTest Image: The test image shows a person sitting on a skateboard with a phone. It does not depict skateboarding or related activities.\nConclusion: cat_1']'
76 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images consistently show people using laptops, often in settings that suggest work or study (coffee shops, cafes, classrooms). The focus is on the laptop and the activity associated with it.\nRule: Images featuring people actively using laptops.\nTest Image: A group of people are using laptops.\nConclusion: cat_2']'
77 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people using laptops. All the cat_1 images show people using laptops.\nRule: Images showing people using laptops.\nTest Image: A group of people are using laptops.\nConclusion: cat_2']'
78 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict motorcycles or people riding motorcycles. The `cat_1` images do not show motorcycles or people riding them.\nRule: Images containing motorcycles or people riding motorcycles.\nTest Image: The test image shows a large crowd of people on scooters and motorcycles.\nConclusion: cat_2']'
79 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people riding motorcycles.\nRule: Images depicting people riding motorcycles.\nTest Image: The test image shows a woman riding a scooter.\nConclusion: cat_1']'
80 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all contain people holding or interacting with a tennis ball. The `cat_1` images do not have this common element.\nRule: Images featuring people holding or interacting with a tennis ball.\nTest Image: The test image shows people holding a tennis ball.\nConclusion: cat_2']'
81 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people playing tennis. The `cat_1` images depict various other activities, such as playing soccer, basketball, and general family scenes.\nRule: All images show people playing tennis.\nTest Image: The test image shows children playing soccer.\nConclusion: cat_1']'
82 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict children playing soccer or football. The `cat_1` images show people in various settings, including business meetings, formal events, and casual gatherings, but none involve sports or soccer.\nRule: Images depicting children playing soccer or football.\nTest Image: The test image shows a child playing soccer.\nConclusion: cat_2']'
83 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict children playing soccer. The `cat_1` images show various people in different settings, including adults, and do not feature soccer.\nRule: Images showing children playing soccer.\nTest Image: The test image shows a man throwing a football.\nConclusion: cat_1']'
84 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people watching television. The images depict families and individuals engaged in the activity of watching TV.\nRule: Images depicting people watching television.\nTest Image: A family is watching television.\nConclusion: cat_2']'
85 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people watching television. The cat_1 images do not show people watching television.\nRule: Images depicting people watching television.\nTest Image: People are working on a disassembled television.\nConclusion: cat_1']'
86 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person cleaning a keyboard with sticky notes or cleaning wipes. The cat_1 images show people dressed as cats.\nRule: Images showing someone cleaning a keyboard with sticky notes or cleaning wipes.\nTest Image: A hand is cleaning a keyboard with a green sticky note.\nConclusion: cat_2']'
87 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show a person cleaning a keyboard with sticky notes. The cat_1 images show people using keyboards in various contexts, but without the cleaning action.\nRule: Cleaning a keyboard with sticky notes.\nTest Image: A person is holding a keyboard and playing an accordion.\nConclusion: cat_1']'
88 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict motorcycles or motorbikes. The last image shows a large group of motorcycles.\nRule: All images contain motorcycles or motorbikes.\nTest Image: The test image shows a large group of motorcycles.\nConclusion: cat_2']'
89 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict motorcycles or motorbikes. The `cat_1` images do not show motorcycles.\nRule: All images must contain motorcycles or motorbikes.\nTest Image: The test image contains motorcycles.\nConclusion: cat_2']'
90 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict scenes of people sitting at tables, drinking beverages (coffee, beer, juice), and engaging in casual conversation. They often feature multiple people and a relaxed, social atmosphere. The `cat_1` images show individuals in various settings, often with a focus on single people and activities like working on laptops or cooking.\n\nRule: The `cat_2` images consistently show groups of people socializing in a casual setting, typically involving drinks and conversation.\n\nTest Image: The test image shows a group of people sitting at a table, drinking beverages, and engaging in conversation.\n\nConclusion: cat_2']'
91 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The first six images (cat_2) all depict scenes of people socializing in bars or restaurants, often with drinks and conversations. The focus is on group interactions and casual settings. The last image (test image) shows a person drinking alone at a table with a laptop.\nRule: Images showing groups of people socializing in bars or restaurants.\nTest Image: A person drinking alone at a table with a laptop.\nConclusion: cat_1']'
