experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  prompt method: direct
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
186 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
187 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
188 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
189 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
190 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
191 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
192 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
193 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
194 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
195 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
196 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
197 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
198 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
199 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
200 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
201 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
202 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
203 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
204 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
205 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
206 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
207 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
208 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
209 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
210 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
211 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
212 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
213 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
214 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
215 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
216 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
217 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
218 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
219 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
220 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
221 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
222 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
223 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
224 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
225 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
226 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
227 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
228 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
229 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
230 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
231 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
232 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
233 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
234 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
235 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
236 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
237 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
238 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
239 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
240 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
241 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
242 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
243 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
244 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
245 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
246 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
247 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
248 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
249 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
250 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
251 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
252 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
253 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
254 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
255 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
256 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
257 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
258 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
259 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
260 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
261 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
262 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
263 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
264 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
265 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
266 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
267 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
268 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
269 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
270 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
271 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
272 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
273 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
274 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
275 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
276 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
277 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
278 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
279 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
280 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
281 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
282 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
283 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
284 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
285 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
286 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
287 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
288 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
289 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
290 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
291 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
292 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
293 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
294 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
295 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
296 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
297 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
298 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
299 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
300 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
301 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
302 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
303 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
304 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
305 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
306 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
307 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
308 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
309 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
310 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
311 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
312 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
313 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
314 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
315 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
316 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
317 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
318 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
319 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
320 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
321 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
322 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
323 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
324 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
325 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
326 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
327 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
328 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
329 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
330 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
331 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
332 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
333 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
334 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
335 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
336 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
337 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
338 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
339 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
340 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
341 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
342 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
343 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
344 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
345 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
346 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
347 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
348 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
349 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
350 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
351 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
352 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
353 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
354 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
355 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
356 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
357 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
358 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
359 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
360 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
361 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
362 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
363 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
364 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
365 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
366 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
367 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
368 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
369 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
370 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
371 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
372 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
373 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
374 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
375 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
376 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
377 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
378 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
379 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
380 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
381 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
382 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
383 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
384 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
385 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
386 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
387 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
388 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
389 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
390 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
391 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
392 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
393 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
394 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
395 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
396 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
397 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
398 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
399 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
400 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
401 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
402 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
403 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
404 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
405 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
406 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
407 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
408 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
409 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
410 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
411 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
412 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
413 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
414 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
415 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
416 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
417 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
418 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
419 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
420 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
421 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
422 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
423 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
424 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
425 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
426 | expected:'cat_1' | got='cat_2 | full: [' cat_2']'
427 | expected:'cat_2' | got='cat_2 | full: [' cat_2']'
428 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
429 | expected:'cat_2' | got='cat_1 | full: [' cat_1']'
430 | expected:'cat_1' | got='cat_1 | full: [' cat_1']'
