experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people walking dogs outdoors, while the `cat_1` images show people holding or interacting with dogs indoors or in close-up settings.\n\nRule: The distinguishing rule is whether the scene is outdoors with people walking dogs (`cat_2`) or indoors or close-up interactions with dogs (`cat_1`).\n\nTest Image: The test image shows a dog sitting on a paved path outdoors.\n\nConclusion: cat_2']
46 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 show individuals performing skateboarding tricks, often in mid-air or with the skateboard off the ground. The images in cat_1 show individuals either sitting on skateboards or standing on them without performing tricks.\n\nRule: The distinguishing rule is whether the person is performing a skateboarding trick (cat_2) or not (cat_1).\n\nTest Image: The test image shows a person performing a skateboarding trick in mid-air.\n\nConclusion: cat_2']
47 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images depict people actively skateboarding or performing tricks on skateboards. The `cat_1` images show people with skateboards but not actively skateboarding, such as sitting, standing, or posing with the skateboard.\n\nRule: The distinguishing rule is whether the person is actively skateboarding or performing a trick.\n\nTest Image: The test image shows a person holding a skateboard over their shoulder, not actively skateboarding.\n\nConclusion: cat_1']
48 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people interacting closely with dogs, such as holding, kissing, or petting them. The `cat_1` images depict dogs in various settings without direct human interaction, such as walking, sitting, or being bathed.\n\nRule: The distinguishing rule is whether the image shows a person interacting closely with a dog.\n\nTest Image: The test image shows a person kissing a dog.\n\nConclusion: cat_2']
49 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images show people interacting closely with dogs, often involving physical contact like holding, kissing, or petting. The `cat_1` images depict people and dogs in more casual or distant interactions, such as walking or sitting nearby without direct physical contact.\n\nRule: The distinguishing rule is the presence of close physical interaction between people and dogs.\n\nTest Image: The test image shows a person sitting on the floor with a dog, engaging in a close interaction.\n\nConclusion: cat_2']
50 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 show people riding bicycles in various settings, including urban streets, parks, and bike shops. The images in cat_1 show people riding bicycles in more dynamic or specific contexts, such as performing tricks, jumping over dirt mounds, or historical settings.\n\nRule: The distinguishing rule is that cat_2 images depict everyday or typical bicycle riding, while cat_1 images depict more specialized or dynamic bicycle activities.\n\nTest Image: The test image shows a person riding a bicycle in an urban setting.\n\nConclusion: cat_2']
51 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in cat_2 show people riding bicycles in various settings, including urban streets, parks, and bike shops. The images in cat_1 show people with bicycles, but the focus is more on the people rather than the act of riding, such as posing with bikes or walking with them.\n\nRule: The distinguishing rule is that cat_2 images depict people actively riding bicycles, while cat_1 images show people with bicycles but not actively riding them.\n\nTest Image: The test image shows a person riding a bicycle on a dirt track.\n\nConclusion: cat_2']
52 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in `cat_2` depict people playing soccer, while the images in `cat_1` show people in various other activities, such as posing, playing tennis, and standing together.\n\nRule: The distinguishing rule is that `cat_2` images show people actively playing soccer, while `cat_1` images do not.\n\nTest Image: The test image shows a person playing soccer.\n\nConclusion: cat_2']
53 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The images in `cat_2` depict people playing soccer, while the images in `cat_1` show people in various other activities, such as playing tennis, basketball, and taking photos.\n\nRule: The distinguishing rule is that `cat_2` images feature people playing soccer, while `cat_1` images do not.\n\nTest Image: The test image shows a person playing tennis.\n\nConclusion: cat_1']
54 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The images in cat_2 show people holding knives in a threatening or aggressive manner, often with a focus on the knife being pointed or held in a way that suggests danger. The images in cat_1 show people using knives in a normal, non-threatening manner, such as cutting food or preparing meals.\n\nRule: The distinguishing rule is whether the knife is being held in a threatening or aggressive manner (cat_2) or used in a normal, non-threatening manner (cat_1).\n\nTest Image: The test image shows a child holding a large knife next to a piece of bread, but the manner does not appear threatening or aggressive.\n\nConclusion: cat_1']
55 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The distinguishing feature between `cat_2` and `cat_1` is the presence of a knife in the hands of the individuals. In `cat_2`, all images show people holding a knife, while in `cat_1`, the images do not show people holding a knife.\n\nRule: The presence of a knife in the hands of the individuals.\n\nTest Image: The test image shows a person cutting a sandwich with a knife.\n\nConclusion: cat_2']
56 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people kissing, while the `cat_1` images show people shaking hands or engaging in other non-kissing interactions.\n\nRule: The distinguishing rule is whether the individuals in the image are kissing.\n\nTest Image: The test image shows two people kissing.\n\nConclusion: cat_2']
57 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images depict people engaging in intimate or affectionate interactions, such as kissing or embracing. The `cat_1` images show people in professional or formal settings, such as handshakes or discussions.\n\nRule: The distinguishing rule is whether the image shows an intimate or affectionate interaction (cat_2) or a professional/formal interaction (cat_1).\n\nTest Image: The test image shows two people shaking hands in a professional setting.\n\nConclusion: cat_1']
58 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict groups of people sitting around tables, often in a dining or social setting. The `cat_1` images show more formal or organized settings, such as a banquet table set up without people or a formal meeting.\n\nRule: The distinguishing rule is that `cat_2` images show informal gatherings of people around tables, while `cat_1` images depict more formal or organized settings.\n\nTest Image: The test image shows a group of people sitting around a table in a social setting.\n\nConclusion: cat_2']
59 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in cat_2 show groups of people sitting around tables, often in a dining or social setting. The images in cat_1 show individuals or small groups, often in more casual or personal settings.\n\nRule: The distinguishing rule is the presence of groups of people gathered around tables in a social or dining setting for cat_2, as opposed to individuals or small groups in more casual settings for cat_1.\n\nTest Image: The test image shows a group of people sitting around a table in a dining setting.\n\nConclusion: cat_2']
60 | expected:'cat_2' | got='cat_1' | full: ['Analysis: The images in cat_2 depict groups of people, either in social settings or engaged in activities together. The images in cat_1 show individuals or pairs engaged in sports activities, focusing on athletic actions.\n\nRule: The distinguishing rule is whether the image shows a group of people in a social or non-sporting context (cat_2) or individuals engaged in sports activities (cat_1).\n\nTest Image: The test image shows a person playing tennis, which is a sports activity.\n\nConclusion: cat_1']
61 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The images in `cat_2` depict groups of people, often in social or family settings, such as playing together, posing for photos, or interacting in a group. The images in `cat_1` show individuals or small groups engaged in sports activities, specifically soccer and tennis, with a focus on athletic action.\n\nRule: `cat_2` images feature groups of people in social or family contexts, while `cat_1` images show individuals or small groups in sports action.\n\nTest Image: The test image shows two individuals playing soccer, engaged in a sports activity.\n\nConclusion: cat_1']
62 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 show people using laptops in various settings, including home, office, and public spaces. The images in cat_1 show people using laptops in more formal or educational settings, such as classrooms or libraries.\n\nRule: The distinguishing rule is the setting in which the laptop is being used. Cat_2 includes casual or personal settings, while cat_1 includes formal or educational settings.\n\nTest Image: The test image shows two people using laptops at a table in a home setting.\n\nConclusion: cat_2']
63 | expected:'cat_1' | got='cat_1' | full: ["Analysis: The images in cat_2 show people using laptops in various settings, including home, office, and public spaces. The images in cat_1 show people using laptops with pets (cats or dogs) on their laps.\n\nRule: The distinguishing rule is the presence of a pet (cat or dog) on the person's lap while using a laptop.\n\nTest Image: The test image shows a person using a laptop with a cat on their lap.\n\nConclusion: cat_1"]
64 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 show people interacting closely with dogs, often kissing or holding them. The images in cat_1 show people sitting or standing with dogs, but without the same level of close interaction or affectionate gestures.\n\nRule: The distinguishing rule is the level of close interaction and affectionate gestures between people and dogs. Cat_2 images feature people kissing or holding dogs closely, while cat_1 images do not.\n\nTest Image: The test image shows a person sitting on a couch, closely interacting with a dog by kissing it.\n\nConclusion: cat_2']
65 | expected:'cat_1' | got='cat_1' | full: ["Analysis: The `cat_2` images show people interacting closely with dogs, often kissing or holding them. The `cat_1` images show people sitting or standing with dogs, but not engaging in close physical affection like kissing.\n\nRule: The distinguishing rule is whether the people are engaging in close physical affection (e.g., kissing) with the dogs.\n\nTest Image: The test image shows a person crouching and holding a dog's paw, with the dog looking up at them.\n\nConclusion: cat_1"]
66 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people eating bananas, while the `cat_1` images show people holding bananas without eating them.\n\nRule: The distinguishing rule is whether the person is actively eating the banana.\n\nTest Image: The test image shows a person eating a banana.\n\nConclusion: cat_2']
67 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images show people eating bananas, while the `cat_1` images show people holding bananas without eating them.\n\nRule: The distinguishing rule is whether the person is actively eating a banana.\n\nTest Image: The test image shows a person holding a bunch of bananas.\n\nConclusion: cat_1']
68 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people holding bananas in a playful or humorous manner, often with exaggerated expressions or poses. The `cat_1` images depict people eating bananas in a more normal or everyday way.\n\nRule: The distinguishing rule is whether the person is engaging with the banana in a playful or humorous manner (`cat_2`) versus eating it normally (`cat_1`).\n\nTest Image: The test image shows a person holding a banana in a playful manner with an exaggerated expression.\n\nConclusion: cat_2']
69 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images all feature people holding or interacting with bananas, while the `cat_1` images do not involve bananas.\nRule: The presence of bananas being held or interacted with by people.\nTest Image: A person standing on a rock with arms outstretched, no bananas visible.\nConclusion: cat_1']
