experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images show people walking multiple dogs in urban settings, while the `cat_1` images show people interacting with single dogs in various settings.\n\nRule: `cat_2` images have multiple dogs being walked by people in urban environments.\n\nTest Image: A single dog sitting on the ground in an urban setting.\n\nConclusion: cat_1\n']'
27 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people performing skateboard tricks, while the `cat_1` images show people holding or standing with skateboards but not performing tricks.\n\nRule: The images belong to `cat_2` if they show people performing skateboard tricks.\n\nTest Image: The image shows multiple people with skateboards but none of them are performing tricks.\n\nConclusion: cat_1\n']'
28 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show individuals working on or cleaning motorcycles, while the `cat_1` images show individuals riding motorcycles.\n\nRule: The distinguishing rule is that `cat_2` images depict people interacting with motorcycles in a stationary or maintenance context, whereas `cat_1` images show people riding motorcycles.\n\nTest Image: The test image shows individuals working on or around a motorcycle.\n\nConclusion: cat_2\n']'
29 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show individuals working on or cleaning motorcycles in a stationary position, while the `cat_1` images show individuals riding motorcycles or motorcycles in motion.\n\nRule: The distinguishing rule is whether the motorcycle is stationary or in motion. If the motorcycle is stationary and being worked on or cleaned, it belongs to `cat_2`. If the motorcycle is in motion or being ridden, it belongs to `cat_1`.\n\nTest Image: The test image shows motorcycles parked on the side of a street with people standing nearby.\n\nConclusion: cat_2\n']'
30 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people riding bicycles in various settings, including near a train, in a city, and on a road. The `cat_1` images show people either fixing or carrying bicycles, or riding bicycles in a different context such as on a dirt path or in a workshop.\n\nRule: `cat_2` images show people actively riding bicycles in different environments, while `cat_1` images show people either fixing, carrying, or riding bicycles in a different context.\n\nTest Image: The test image shows multiple people riding bicycles together on a road.\n\nConclusion: cat_2\n']'
31 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people riding bicycles in various settings, including near a train, on a road, and in a group. The `cat_1` images show people either fixing or standing next to bicycles, not actively riding them.\n\nRule: The distinguishing rule is that `cat_2` images show people actively riding bicycles, while `cat_1` images show people either fixing or standing next to bicycles.\n\nTest Image: The test image shows a person working on a bicycle, not riding it.\n\nConclusion: cat_1\n']'
32 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people actively flying kites, while the `cat_1` images show people either holding kites without flying them or in other activities.\n\nRule: The distinguishing rule is whether people are actively flying kites.\n\nTest Image: A person is flying a kite in an open field.\n\nConclusion: cat_2\n']'
33 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people flying kites, while the `cat_1` images show people either holding kites or not flying them.\n\nRule: The distinguishing rule is that `cat_2` images show people actively flying kites in the air.\n\nTest Image: The image shows a silhouette of a man and a child flying a kite at sunset.\n\nConclusion: cat_2\n']'
34 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people kissing dogs, while the `cat_1` images show people interacting with dogs in different ways, such as bathing, holding, or walking them.\n\nRule: The distinguishing rule is that `cat_2` images show people kissing dogs.\n\nTest Image: A man is kissing a dog.\n\nConclusion: cat_2\n']'
35 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people kissing dogs, while the `cat_1` images show people interacting with dogs in different ways, such as bathing, holding, or walking them.\n\nRule: The distinguishing rule is that `cat_2` images show people kissing dogs.\n\nTest Image: The test image shows a person kissing a dog.\n\nConclusion: cat_2\n']'
36 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show intimate interactions between couples, such as kissing and embracing, while the `cat_1` images show interactions that are not intimate, such as high-fiving, hugging in a non-romantic way, or professional meetings.\n\nRule: The images are categorized as `cat_2` if they depict intimate interactions between couples, otherwise, they are categorized as `cat_1`.\n\nTest Image: The test image shows a man and a woman facing each other closely, possibly in an intimate manner.\n\nConclusion: cat_2\n']'
37 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show intimate interactions between two people, often involving kissing or close physical contact. The `cat_1` images show interactions that are either non-intimate or involve more casual or non-physical interactions.\n\nRule: `cat_2` images depict intimate physical interactions between two people, while `cat_1` images do not.\n\nTest Image: The test image shows a man and a woman in close physical contact, possibly kissing.\n\nConclusion: cat_2\n']'
38 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show individuals actively skateboarding, performing tricks, and in motion. The `cat_1` images show individuals either holding the skateboard or standing still with the skateboard.\n\nRule: The distinguishing rule is whether the person is actively skateboarding or in motion.\n\nTest Image: The individual is in mid-air while performing a trick with a skateboard.\n\nConclusion: cat_2']'
39 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show individuals performing skateboard tricks, while the `cat_1` images show individuals either holding or standing with skateboards but not performing any tricks.\n\nRule: The distinguishing rule is whether the person is actively performing a skateboard trick.\n\nTest Image: The image shows a man and a child on a skateboard, but neither is performing a trick.\n\nConclusion: cat_1\n']'
40 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people interacting with dogs, while the `cat_1` images show people interacting with other people or animals in different contexts.\n\nRule: `cat_2` images must contain people interacting with dogs.\n\nTest Image: A person holding a small brown dog.\n\nConclusion: cat_2\n']'
41 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people interacting with dogs, while the `cat_1` images show people interacting with other people or animals in different contexts.\n\nRule: `cat_2` images must contain people interacting with dogs.\n\nTest Image: A woman in a white dress interacting with a black dog.\n\nConclusion: cat_2\n']'
42 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The cat_2 images show groups of people sitting together at a table, often in a casual or social setting. The cat_1 images show people in more formal settings, such as a restaurant or a business meeting.\n\nRule: The distinguishing rule is the setting and formality of the gathering. If the image shows people sitting casually at a table, it is cat_2. If the image shows people in a formal setting, it is cat_1.\n\nTest Image: The test image shows a man sitting alone at a table near a window, eating.\n\nConclusion: cat_1\n']'
43 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images show groups of people sitting around a table in a casual setting, while the cat_1 images show people in more formal settings or with fewer people at the table.\n\nRule: The distinguishing rule is that cat_2 images depict groups of people in casual settings around a table, whereas cat_1 images show formal settings or fewer people at the table.\n\nTest Image: The test image shows two people sitting at a table in a casual setting.\n\nConclusion: cat_2\n']'
44 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people interacting with dogs in various settings, including outdoor and indoor environments. The people are either standing or sitting next to the dogs, and the dogs are of different breeds and sizes.\n\nRule: `cat_2` images depict people interacting with dogs in close proximity, regardless of the environment or dog breed.\n\nTest Image: The test image shows a person and a dog lying on a couch together.\n\nConclusion: cat_2\n']'
45 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people interacting with dogs in various settings, including outdoor and indoor environments. The people are actively engaging with the dogs, such as petting, holding, or playing with them. The `cat_1` images also show people with dogs, but the interactions are less active or the dogs are not being directly engaged by the people.\n\nRule: `cat_2` images depict active interaction between people and dogs, while `cat_1` images show less interaction or the dogs are not being directly engaged by the people.\n\nTest Image: The image shows a person actively engaging with a dog in an outdoor setting.\n\nConclusion: cat_2\n']'
46 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show individuals performing skateboard tricks or stunts, while the `cat_1` images show individuals either standing or riding the skateboard without performing any tricks.\n\nRule: The distinguishing rule is whether the person is performing a skateboard trick or stunt.\n\nTest Image: The person is performing a skateboard trick.\n\nConclusion: cat_2\n']'
47 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show individuals performing skateboard tricks or stunts, while the `cat_1` images show individuals either standing or riding a skateboard without performing any tricks.\n\nRule: The distinguishing rule is whether the individual is performing a skateboard trick or stunt.\n\nTest Image: The individual is holding a skateboard with both hands.\n\nConclusion: cat_1\n']'
48 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people kissing dogs, while the `cat_1` images show people interacting with dogs in other ways, such as holding or playing with them, but not kissing.\n\nRule: The distinguishing rule is that `cat_2` images must show a person kissing a dog.\n\nTest Image: The test image shows a person kissing a dog.\n\nConclusion: cat_2\n']'
49 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people kissing or being kissed by dogs, while the `cat_1` images show people interacting with dogs but not kissing them.\n\nRule: The distinguishing criterion is whether people are kissing or being kissed by dogs.\n\nTest Image: People are interacting with dogs but not kissing them.\n\nConclusion: cat_1\n']'
50 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images show people riding bicycles in various urban settings, while the `cat_1` images show people with bicycles but not necessarily riding them, or they are in different contexts such as a book or a shop.\n\nRule: `cat_2` images depict people actively riding bicycles in outdoor or urban environments.\n\nTest Image: The image shows a group of people with bicycles in front of a building.\n\nConclusion: cat_1\n']'
51 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people riding bicycles in various urban settings, while the `cat_1` images show people either standing next to bicycles or in settings that do not involve riding.\n\nRule: The distinguishing rule is that `cat_2` images show people actively riding bicycles, whereas `cat_1` images do not show people riding bicycles.\n\nTest Image: The image shows people riding bicycles in an urban setting.\n\nConclusion: cat_2\n']'
52 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people playing soccer, while the `cat_1` images show people engaged in other activities or sports like tennis, baseball, or non-sporting events.\n\nRule: The images belong to `cat_2` if they depict people playing soccer.\n\nTest Image: The image shows a person playing soccer.\n\nConclusion: cat_2\n']'
53 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people playing soccer, while the `cat_1` images show people engaged in other activities such as playing basketball, baseball, or other sports.\n\nRule: The images belong to `cat_2` if they show people playing soccer.\n\nTest Image: The image shows a person playing basketball.\n\nConclusion: cat_1\n']'
54 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images show people holding or interacting with food, while the `cat_1` images show people holding or interacting with other objects or tools.\n\nRule: People in the images are holding or interacting with food.\n\nTest Image: A young boy sitting at a table holding a piece of bread.\n\nConclusion: cat_1\n']'
55 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people holding or interacting with food, while the `cat_1` images show people holding or interacting with other objects.\n\nRule: If the image shows a person interacting with food, it belongs to `cat_2`. If the image shows a person interacting with other objects, it belongs to `cat_1`.\n\nTest Image: A person is cutting a sandwich on a cutting board.\n\nConclusion: cat_1\n']'
56 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show intimate interactions between two people, such as kissing or embracing, while the cat_1 images show handshakes, hugs, or interactions that are not intimate.\n\nRule: The distinguishing rule is that cat_2 images depict intimate interactions, such as kissing or embracing, while cat_1 images do not.\n\nTest Image: The test image shows two people kissing.\n\nConclusion: cat_2\n']'
57 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images show people kissing or in intimate romantic poses, while the cat_1 images show people shaking hands or in non-romantic interactions.\n\nRule: The distinguishing rule is that cat_2 images depict romantic or intimate interactions, while cat_1 images depict non-romantic interactions.\n\nTest Image: The test image shows a man and a woman standing close to each other, possibly in a romantic or friendly manner.\n\nConclusion: cat_2\n']'
58 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images show people eating at a table with a variety of food items, while the cat_1 images show people eating in a more casual setting or at a buffet.\n\nRule: The distinguishing rule is whether the people are eating at a table with a variety of food items. If they are, it is cat_2. If not, it is cat_1.\n\nTest Image: The test image shows a person sitting at a table with a variety of food items.\n\nConclusion: cat_2\n']'
59 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images show people eating at a table with others, while the cat_1 images show people eating alone or in smaller groups.\n\nRule: Cat_2 images depict people eating together in larger groups at a table.\n\nTest Image: The image shows a group of people eating together at a table.\n\nConclusion: cat_2\n']'
60 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people playing with balls, while the `cat_1` images show people playing soccer.\nRule: The images are categorized based on whether they show people playing with balls (cat_2) or playing soccer (cat_1).\nTest Image: The image shows a woman holding a frisbee.\nConclusion: cat_2\n']'
61 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people in casual settings, often involving children playing or interacting in groups. The `cat_1` images depict sports activities, specifically soccer, with players in action on a field.\n\nRule: The distinguishing rule is that `cat_2` images show casual, non-sports interactions and group activities, while `cat_1` images show sports, particularly soccer.\n\nTest Image: The image shows a group of people playing soccer on a field.\n\nConclusion: cat_1\n']'
62 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people using laptops in various settings, while the `cat_1` images show people using computers in different environments, including a bus and a classroom.\n\nRule: The distinguishing rule is that `cat_2` images specifically feature people using laptops, whereas `cat_1` images show people using computers in general.\n\nTest Image: The test image shows two people using laptops in a room.\n\nConclusion: cat_2\n']'
63 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people using laptops in various settings, while the `cat_1` images show people using computers in different contexts, including desktops and laptops in public places.\n\nRule: `cat_2` images depict individuals using laptops in personal or semi-public settings, whereas `cat_1` images show individuals using computers in more public or varied settings.\n\nTest Image: The image shows a man using a laptop while sitting on a couch.\n\nConclusion: cat_2\n']'
64 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people interacting closely with dogs, often kissing or hugging them. The `cat_1` images show people with dogs but not interacting as closely, such as holding them or standing next to them.\n\nRule: People in the images must be closely interacting with the dogs, such as kissing or hugging them.\n\nTest Image: A woman is sitting on a couch and kissing a dog.\n\nConclusion: cat_2\n']'
65 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people interacting closely with dogs, often kissing or hugging them. The `cat_1` images show people with dogs but not interacting as closely, such as holding them or standing next to them.\n\nRule: People in the images are closely interacting with dogs, such as kissing or hugging.\n\nTest Image: A person is kneeling and giving a treat to a dog in a park.\n\nConclusion: cat_2\n']'
66 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people eating bananas with their hands, while the `cat_1` images show people holding bananas but not necessarily eating them.\n\nRule: People in `cat_2` are actively eating the banana with their hands.\n\nTest Image: A person is eating a banana with their hands.\n\nConclusion: cat_2\n']'
67 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people eating bananas with their hands, while the `cat_1` images show people holding bananas but not necessarily eating them.\nRule: People eating bananas with their hands belong to `cat_2`, while people holding bananas without eating them belong to `cat_1`.\nTest Image: A woman holding a banana but not eating it.\nConclusion: cat_1\n']'
68 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images show people holding bananas in various poses, while the `cat_1` images show people eating bananas.\n\nRule: People holding bananas belong to `cat_2`, while people eating bananas belong to `cat_1`.\n\nTest Image: A man holding a banana in his mouth and smiling.\n\nConclusion: cat_1\n']'
69 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people holding bananas in various poses, while the `cat_1` images show people eating bananas.\nRule: People holding bananas belong to `cat_2`, while people eating bananas belong to `cat_1`.\nTest Image: A person in an orange jacket holding a banana on a rocky outcrop.\nConclusion: cat_2\n']'
70 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people using cleaning tools such as brushes and gloves to clean toilets. The `cat_1` images show people using toilets without cleaning tools.\n\nRule: `cat_2` images involve the use of cleaning tools like brushes and gloves while cleaning toilets, whereas `cat_1` images do not show any cleaning tools.\n\nTest Image: A person wearing gloves and cleaning a toilet.\n\nConclusion: cat_2\n']'
71 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images show people using cleaning tools such as brushes and gloves to clean toilets. The `cat_1` images show people using toilets without any cleaning tools.\n\nRule: `cat_2` images involve the use of cleaning tools like brushes and gloves while cleaning toilets.\n\nTest Image: The image shows a toilet with cleaning tools such as gloves and a brush.\n\nConclusion: cat_2']'
72 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images show motorcycles in a race or competition setting, often with multiple motorcycles together and people around. The `cat_1` images show individuals with motorcycles, either posing or riding alone.\n\nRule: `cat_2` images depict multiple motorcycles in a group setting or competition, while `cat_1` images show single motorcycles with individuals.\n\nTest Image: The test image shows a single motorcycle with a person on it, possibly in a competition setting but not in a group.\n\nConclusion: cat_1']'
73 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show motorcycles in a race or competitive setting, often with multiple riders and spectators. The `cat_1` images show individuals on motorcycles, often in casual or non-race settings.\n\nRule: `cat_2` images depict motorcycles in a race or competitive setting with multiple riders and spectators, while `cat_1` images show individuals on motorcycles in casual or non-race settings.\n\nTest Image: The test image shows a single person riding a motorcycle on a road.\n\nConclusion: cat_1']'
74 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people performing skateboard tricks in the air, while the `cat_1` images show people holding or sitting with their skateboards without performing any tricks.\n\nRule: The distinguishing rule is whether the person is performing a skateboard trick in the air.\n\nTest Image: The image shows a person performing a skateboard trick in the air.\n\nConclusion: cat_2\n']'
75 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images show people actively performing skateboard tricks or jumps, while the `cat_1` images show people either sitting or holding the skateboard without performing any tricks.\n\nRule: The images belong to `cat_2` if they show a person actively performing a skateboard trick or jump.\n\nTest Image: The image shows a person sitting on the ground with a skateboard next to them.\n\nConclusion: cat_1\n']'
76 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images show people using laptops in various settings, while the `cat_1` images show children interacting with laptops or other electronic devices.\n\nRule: The images are categorized as `cat_2` if they show adults using laptops in different environments.\n\nTest Image: The image shows two people using laptops.\n\nConclusion: cat_2\n']'
